date,state,fips,cases
3/16/20,Florida,12,141
3/16/20,Georgia,13,118
3/16/20,Guam,66,3
3/16/20,Hawaii,15,10
3/16/20,Idaho,16,5
3/16/20,Illinois,17,104
3/16/20,Indiana,18,24
3/16/20,Iowa,19,22
3/16/20,Kansas,20,11
3/16/20,Kentucky,21,22
3/16/20,Louisiana,22,137
3/16/20,Maine,23,17
3/16/20,Maryland,24,39
3/16/20,Massachusetts,25,197
3/16/20,Michigan,26,54
3/16/20,Minnesota,27,54
3/16/20,Mississippi,28,12
3/16/20,Missouri,29,9
3/16/20,Montana,30,8
3/16/20,Nebraska,31,33
3/16/20,Nevada,32,45
3/16/20,New Hampshire,33,17
3/16/20,New Jersey,34,176
3/16/20,New Mexico,35,21
3/16/20,New York,36,950
3/16/20,North Carolina,37,34
3/16/20,North Dakota,38,1
3/16/20,Ohio,39,50
3/16/20,Oklahoma,40,10
3/16/20,Oregon,41,46
3/16/20,Pennsylvania,42,81
3/16/20,Puerto Rico,72,5
3/16/20,Rhode Island,44,21
3/16/20,South Carolina,45,33
3/16/20,South Dakota,46,10
3/16/20,Tennessee,47,52
3/16/20,Texas,48,87
3/16/20,Utah,49,40
3/16/20,Vermont,50,12
3/16/20,Virgin Islands,78,2
3/16/20,Virginia,51,51
3/16/20,Washington,53,794
3/16/20,Wisconsin,55,47
3/16/20,Wyoming,56,10
3/17/20,Alabama,1,39
3/17/20,Alaska,2,6
3/17/20,Arizona,4,20
3/17/20,Arkansas,5,22
3/17/20,California,6,732
3/17/20,Colorado,8,183
3/17/20,Connecticut,9,68
3/17/20,Delaware,10,16
3/17/20,District of Columbia,11,31
3/17/20,Florida,12,210
3/17/20,Georgia,13,142
3/17/20,Guam,66,3
3/17/20,Hawaii,15,14
3/17/20,Idaho,16,9
3/17/20,Illinois,17,159
3/17/20,Indiana,18,30
3/17/20,Iowa,19,29
3/17/20,Kansas,20,17
3/17/20,Kentucky,21,26
3/17/20,Louisiana,22,196
3/17/20,Maine,23,32
3/17/20,Maryland,24,57
3/17/20,Massachusetts,25,218
3/17/20,Michigan,26,65
3/17/20,Minnesota,27,60
3/17/20,Mississippi,28,21
3/17/20,Missouri,29,16
3/17/20,Montana,30,8
3/17/20,Nebraska,31,36
3/17/20,Nevada,32,55
3/17/20,New Hampshire,33,26
3/17/20,New Jersey,34,268
3/17/20,New Mexico,35,23
3/17/20,New York,36,1375
3/17/20,North Carolina,37,42
